"Herbivore, xylophagus","Herbivore, folivorous","Herbivore, nectarivorous/palnyvorous","Herbivore, phytosuccivorous","Herbivore, algivorous","Herbivore, frugivore","Herbivore, radicivorous","Herbivore, granivorous","Carnivore, parasitoid","Carnivore, entomophagous","Carnivore, parasitic","Decomposer, saprophytic","Decomposer, detrivorous","Fungivore, fungivorous"
wood,phytophagous,palnyvorous,phytosuccivorous,algivorous,frugivore,radicivorous,granivorous,host,insect,parasitize,saprophagous,decompose,fungus
boring,host,pollen,sap,algae,Acai,roots,seed,kill,entomophagous,parasitic,saprophytic,detrivorous,fungivorous
xylophagus,foliage,nectar,suck,bottom,Euterpe oleracea,,grain,parasitoid,,host,dead,faeces,fungi
plant,shrub,flower,suckle,feeder,Euterpe,,kernel,predator,,found,decay,feces,Acremonium
Sunshine,plant,nectarivore,plant,Achnanthes cf inflata,Arecaceae,,particle,mammal,,on,rotting,dung,cucurbitacearum
syn,tree,plant,Sunshine,Achnanthidium,Palm,,,blood,,lives,rot,fecal,Agaricus
Vetiveria,leaf-eating,Sunshine,syn,Actinastrum,Allspice,,,insects,,mammal,rotted,excrement,campestris
zizanioides,immature,syn,Vetiveria,Ammatoidea,Pimenta dioica,,,predacious,,parasite,decaying,poop,Albugo
Cibotium,leaf,Vetiveria,zizanioides,Anabaena,Pimenta,,,rodent,,alive,waste,stool,candida
menziesii,cellulose,zizanioides,Cibotium,Ankistrodesmus,Myrtaceae,,,mammal,,,dying,waste,Albugo
hapu,leaves,Cibotium,menziesii,Aphanocapsa,Myrtle,,,,,,dead,manure,ipomoeae-aquaticae
u,folivore,menziesii,hapu,Aphanothece,Apple,,,,,,,,Albugo
tree,Sunshine,hapu,u,Arthrodesmus,Malus pumila,,,,,,,,occidentalis
fern,syn,u,tree,Asterionella cf. formosa,Malus,,,,,,,,Albugo
Citrus,Vetiveria,tree,fern,Audouinella hermanii,Rosaceae,,,,,,,,tragopogonis
lycopersicaeformis,zizanioides,fern,Citrus,Aulacoseira granulata,Rose,,,,,,,,Allantophomopsis
heen,Cibotium,Citrus,lycopersicaeformis,Batrachospermum,Apricot,,,,,,,,cytisporea
naran,menziesii,lycopersicaeformis,heen,Bostrychia,Prunus armeniaca,,,,,,,,Allantophomopsis
seedy,hapu,heen,naran,Botrydiopsis,Prunus,,,,,,,,lycopodina
tangerine,u,naran,seedy,Bracteacoccus,Rosaceae,,,,,,,,Alternaria
Coccolba,tree,seedy,tangerine,Bulbochaete,Rose,,,,,,,,alternata
uvifera,fern,tangerine,Coccolba,Caloglossa,Avocado,,,,,,,,Alternaria
sea,Citrus,Coccolba,uvifera,Calothrix,Persea americana,,,,,,,,brassicae
grape,lycopersicaeformis,uvifera,sea,Carteria,Persea,,,,,,,,Alternaria
Cocos,heen,sea,grape,Cerataulina,Lauraceae,,,,,,,,brassicicola
nucifera,naran,grape,Cocos,Ceratium,Laurel,,,,,,,,Alternaria
coconut,seedy,Cocos,nucifera,Chaetophora,Banana,,,,,,,,carthami
niu,tangerine,nucifera,coconut,Chamaesiphon,Musa,,,,,,,,Alternaria
lius,Coccolba,coconut,niu,Chara,Musa,,,,,,,,cucumerina
iru,uvifera,niu,lius,Characium,Musaceae,,,,,,,,Alternaria
lu,sea,lius,iru,Chlamydomonas,Banana,,,,,,,,dauci
ni,grape,iru,lu,Chlorella - like unicells,Bearberry,,,,,,,,Alternaria
niyog,Cocos,lu,ni,Chlorogonium,Arctostaphylos uvaursi,,,,,,,,destruens
nizok,nucifera,ni,niyog,Chodatella,Arctostaphylos,,,,,,,,Alternaria
nu,coconut,niyog,nizok,Chroococcus,Ericaceae,,,,,,,,helianthi
Cocos,niu,nizok,nu,Chroodactylon,Heath,,,,,,,,Alternaria
nucifera,lius,nu,Cocos,Chrysocapsa,Bilberry,,,,,,,,macrospora
dwarf,iru,Cocos,nucifera,Cladophora glomerata,Vaccinium myrtillus,,,,,,,,Alternaria
coconut,lu,nucifera,dwarf,Closteriopsis,Vaccinium,,,,,,,,palandui
niu,ni,dwarf,coconut,Closterium,Ericaceae,,,,,,,,Alternaria
lius,niyog,coconut,niu,Coccomyxa/Pseudococcomyxa,Heath,,,,,,,,porri
iru,nizok,niu,lius,Cocconeis placentula,Blackberry,,,,,,,,Alternaria
lu,nu,lius,iru,Coelastrum,Rubus,,,,,,,,solani
ni,Cocos,iru,lu,Coleochaete,Rubus,,,,,,,,Alternaria
niyog,nucifera,lu,ni,Coleodesmium,Rosaceae,,,,,,,,tenuissima
nizok,dwarf,ni,niyog,Compsopogon,Rose,,,,,,,,Alternaria
nu,coconut,niyog,nizok,Cosmarium,Blackcurrant,,,,,,,,tomatophila
Codium,niu,nizok,nu,Craticula,Ribes nigrum,,,,,,,,Alternaria
variegatum,lius,nu,Codium,Cryptomonas,Ribes,,,,,,,,triticina
croton,iru,Codium,variegatum,Cyanothece,Saxifragaceae,,,,,,,,Alternaria
Coix,lu,variegatum,croton,Cyclotella cf stelligera,Saxifrage,,,,,,,,zinniae
lachryma,ni,croton,Coix,Cylindrocystis,Blueberry,,,,,,,,Ampelomyces
jobs,niyog,Coix,lachryma,Cymbella,Cyanococcus,,,,,,,,quisqualis
tears,nizok,lachryma,jobs,Desmidium,Vaccinium,,,,,,,,Amylostereum
Cordia,nu,jobs,tears,Desmodesmus,Ericaceae,,,,,,,,chailletii
subcordata,Codium,tears,Cordia,Diacanthos,Heath,,,,,,,,Anisogramma
kou,variegatum,Cordia,subcordata,Diatoma,Boysenberry,,,,,,,,anomala
niyoron,croton,subcordata,kou,Dichothrix ,Rubus ursinus,,,,,,,,Anthracoidea
tauanave,Coix,kou,niyoron,Dictyosphaerium,Rubus idaeus,,,,,,,,caricis
galu,lachryma,niyoron,tauanave,Didymosphenia,Rubus,,,,,,,,Antrodia
koa,jobs,tauanave,galu,Dimorphococcus,Rosaceae,,,,,,,,heteromorpha
kalau,tears,galu,koa,Dinobryon,Rose,,,,,,,,Antrodia
ikoik,Cordia,koa,kalau,Diploneis cf elliptica,Breadfruit,,,,,,,,juniperina
ikoak,subcordata,kalau,ikoik,Draparnaldia,Artocarpus altilis,,,,,,,,Antrodia
anau,kou,ikoik,ikoak,Elliptochloris,Artocarpus,,,,,,,,serialis
Cordyline,niyoron,ikoak,anau,Encyonema,Moraceae,,,,,,,,Aphanomyces
fruticosa,tauanave,anau,Cordyline,Eolimna,Mulberry,,,,,,,,cochlioides
ti,galu,Cordyline,fruticosa,Epithemia,Camucamu,,,,,,,,Aphanomyces
Crotalaria,koa,fruticosa,ti,Euastrum,Myrciaria dubia,,,,,,,,euteiches
juncea,kalau,ti,Crotalaria,Eudorina,Myrciaria,,,,,,,,Aphanomyces
cv,ikoik,Crotalaria,juncea,Euglena,Myrtaceae,,,,,,,,euteiches
Tropic,ikoak,juncea,cv,Eunotia,Myrtle,,,,,,,,f.sp
Sun,anau,cv,Tropic,Fistulifera,Cantaloupe,,,,,,,,.
sunn,Cordyline,Tropic,Sun,Fragilaria,Muskmelon,,,,,,,,pisiAphanomyces
hemp,fruticosa,Sun,sunn,Frustulia,Cucumis melo,,,,,,,,raphani
Croton,ti,sunn,hemp,Gloeocapsa, variety ,,,,,,,,Apiognomonia
reflexifolius,Crotalaria,hemp,Croton,Gloeotrichia,cantalupensis,,,,,,,,errabunda
colpachi,juncea,Croton,reflexifolius,Golenkinia,Cucumis,,,,,,,,Apiognomonia
croton,cv,reflexifolius,colpachi,Gomphoneis,Cucurbitaceae,,,,,,,,quercina
Cryptomaria,Tropic,colpachi,croton,Gomphonema,Gourd,,,,,,,,Apiognomonia
japonica,Sun,croton,Cryptomaria,Gymnodinium,Cape gooseberry,,,,,,,,veneta
Japanese,sunn,Cryptomaria,japonica,Gyrosigma,Physalis peruviana,,,,,,,,Apiosporina
sugi,hemp,japonica,Japanese,Haematococcus,Solanaceae,,,,,,,,morbosa
pine,Croton,Japanese,sugi,Hantzschia,Nightshade,,,,,,,,Armillaria
Cunninghamia,reflexifolius,sugi,pine,Homoeothrix,Nightshade,,,,,,,,calvescens
lanceolata,colpachi,pine,Cunninghamia,Hormoscilla,Caper berry,,,,,,,,Armillaria
Chinese,croton,Cunninghamia,lanceolata,Hyalotheca,Capparis spinosa,,,,,,,,cepistipes
fir,Cryptomaria,lanceolata,Chinese,Hydrodictyon,Capparis,,,,,,,,Armillaria
Cupressus,japonica,Chinese,fir,Interfilum paradoxum,Capparaceae,,,,,,,,gallica
lusitanica,Japanese,fir,Cupressus,Kirchneriella,Caper,,,,,,,,Armillaria
Portuguese,sugi,Cupressus,lusitanica,Klebsormidium,Casaba Melon,,,,,,,,gemina
Mexican,pine,lusitanica,Portuguese,Lyngbya,Cucumis melo,,,,,,,,Armillaria
cypress,Cunninghamia,Portuguese,Mexican,Melosira varians,Cucumis,,,,,,,,mellea
Cupressus,lanceolata,Mexican,cypress,Meridion cf circulare,Cucurbitaceae,,,,,,,,Armillaria
macrocarpa,Chinese,cypress,Cupressus,Merismopedia,Gourd,,,,,,,,sinapina
California,fir,Cupressus,macrocarpa,Micractinium / Errerella ,Cherry,,,,,,,,Armillaria
cypress,Cupressus,macrocarpa,California,Micrasterias,Wild Cherry,,,,,,,,solidipes
Cupressus,lusitanica,California,cypress,Microcoleus,Prunus avium,,,,,,,,Armillaria
sempervirons,Portuguese,cypress,Cupressus,Microcystis,sweet cherry,,,,,,,,tabescens
Italian,Mexican,Cupressus,sempervirons,Microspora,Prunus cerasus,,,,,,,,Arthuriomyces
cypress,cypress,sempervirons,Italian,Microthamnion,sour cherry,,,,,,,,peckianus
Cymbopogon,Cupressus,Italian,cypress,Monostroma,Prunus,,,,,,,,Articularia
citratus,macrocarpa,cypress,Cymbopogon,Mougeotia,Rosaceae,,,,,,,,quercina
lemongrass,California,Cymbopogon,citratus,Naviculoid diatoms,Rose,,,,,,,,Ascochyta
