"Herbivore, xylophagus","Herbivore, folivorous","Herbivore, nectarivorous/palnyvorous","Herbivore, phytosuccivorous","Herbivore, algivorous","Herbivore, frugivore","Herbivore, radicivorous","Herbivore, granivorous","Carnivore, parasitoid","Carnivore, entomophagous","Carnivore, parasitic","Decomposer, saprophytic","Decomposer, detrivorous","Fungivore, fungivorous"
"Herbivore, xylophagus","Herbivore, folivorous","Herbivore, nectarivorous/palnyvorous","Herbivore, phytosuccivorous","Herbivore, algivorous","Herbivore, frugivore",roots,"Herbivore, granivorous",host,insect,parasitize,"Decomposer, saprophytic","Decomposer, detrivorous","Fungivore, fungivorous"
wood,phytophagous,palnyvorous,phytosuccivorous,algivorous,frugivore,radicivorous,granivorous,kill,entomophagous,parasitic,saprophagous,decompose,fungus
boring,host,pollen,suck,algae,Acai,,seed,parasitoid,bugs,host,saprophytic,detrivorous,fungivorous
xylophagus,foliage,nectar,suckle,bottom,Euterpe oleracea,,grain,predator,host,found,dead,faeces,fungi
plant,shrub,flower,plant,feeder,Euterpe,,kernel,mammal,feed,on,decay,feces,Acremonium
Sunshine,plant,nectarivore,Sunshine,Achnanthes cf inflata,Arecaceae,,particle,blood,arthropod,lives,rotting,dung,cucurbitacearum
Vetiveria,tree,plant,Vetiveria,Achnanthidium,Palm,,,insects,,mammal,rotted,fecal,Agaricus
zizanioides,leaf-eating,Sunshine,zizanioides,Actinastrum,Allspice,,,predacious,,parasite,decaying,excrement,campestris
Cibotium,immature,Vetiveria,Cibotium,Ammatoidea,Pimenta dioica,,,rodent,,alive,waste,poop,Albugo
menziesii,leaf,zizanioides,menziesii,Anabaena,Pimenta,,,bird,,rodent,dying,stool,candida
hapu,cellulose,Cibotium,hapu,Ankistrodesmus,Myrtaceae,,,prey,,bird,dead,waste,Albugo
tree,leaves,menziesii,tree,Aphanocapsa,Myrtle,,,livestock,,live,,manure,ipomoeae-aquaticae
fern,folivore,hapu,fern,Aphanothece,Apple,,,domestic,,domestic,,,Albugo
Citrus,Sunshine,tree,Citrus,Arthrodesmus,Malus pumila,,,feed,,feed,,,occidentalis
lycopersicaeformis,Vetiveria,fern,lycopersicaeformis,Asterionella cf. formosa,Malus,,,cattle ,,cattle ,,,Albugo
heen,zizanioides,Citrus,heen,Audouinella hermanii,Rosaceae,,,horse,,horse,,,tragopogonis
naran,Cibotium,lycopersicaeformis,naran,Aulacoseira granulata,Rose,,,chicken,,chicken,,,Allantophomopsis
seedy,menziesii,heen,seedy,Batrachospermum,Apricot,,,sheep,,sheep,,,cytisporea
tangerine,hapu,naran,tangerine,Bostrychia,Prunus armeniaca,,,pig,,pig,,,Allantophomopsis
